"Period","CWD.Status","Sex","Mean","SD","X0.025","X0.975"
"Pre-Harvest","Negative","Female",0.931,0.022,0.881,0.967
"","","Male",0.487,0.155,0.193,0.785
"","Positive","Female",0.546,0.132,0.282,0.789
"","","Male",0.029,0.068,0,0.242
"Post Bow/Archery ","Negative","Female",0.885,0.029,0.822,0.936
"","","Male",0.305,0.155,0.065,0.65
"","Positive","Female",0.364,0.137,0.128,0.646
"","","Male",0.008,0.032,0,0.084
"Post Gun 1","Negative","Female",0.837,0.036,0.763,0.9
"","","Male",0.19,0.14,0.015,0.54
"","Positive","Female",0.236,0.128,0.047,0.526
"","","Male",0.003,0.018,0,0.029
"Post Gun 2","Negative","Female",0.803,0.042,0.718,0.879
"","","Male",0.14,0.124,0.005,0.469
"","Positive","Female",0.176,0.116,0.022,0.456
"","","Male",0.002,0.013,0,0.013
