"Period","CWD.Status","Sex","Mean","SD","X0.025","X0.975"
"Pre-Harvest","Negative","Female",0.904,0.026,0.849,0.948
"","","Male",0.496,0.171,0.174,0.821
"","Positive","Female",0.574,0.118,0.343,0.789
"","","Male",0.073,0.117,0,0.428
"Post Bow/Archery","Negative","Female",0.835,0.033,0.766,0.893
"","","Male",0.303,0.171,0.049,0.68
"","Positive","Female",0.376,0.124,0.158,0.632
"","","Male",0.022,0.062,0,0.199
"Post Gun","Negative","Female",0.755,0.041,0.669,0.832
"","","Male",0.178,0.152,0.007,0.561
"","Positive","Female",0.227,0.114,0.053,0.481
"","","Male",0.009,0.038,0,0.079
