"Period","CWD Status","Sex","Mean","SD","0.025","0.975"
"Pre-Harvest","Negative","Female",0.916,0.026,0.855,0.959
"","","Male",0.909,0.031,0.838,0.958
"","Positive","Female",0.588,0.147,0.276,0.836
"","","Male",0.566,0.133,0.295,0.805
"Post Bow/Archery ","Negative","Female",0.864,0.034,0.788,0.923
"","","Male",0.852,0.041,0.763,0.922
"","Positive","Female",0.419,0.16,0.12,0.725
"","","Male",0.392,0.14,0.14,0.676
"Post Gun 1","Negative","Female",0.815,0.042,0.725,0.89
"","","Male",0.8,0.05,0.693,0.888
"","Positive","Female",0.308,0.158,0.05,0.637
"","","Male",0.278,0.136,0.063,0.574
"Post Gun 2","Negative","Female",0.779,0.049,0.676,0.866
"","","Male",0.761,0.058,0.638,0.864
"","Positive","Female",0.245,0.15,0.026,0.575
"","","Male",0.215,0.127,0.033,0.508
